nCond,key_resp_ic.keys,key_resp_ic.rt,participant,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_Practice.keys,key_resp_Practice.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,trialsPractice.ran,targPres,distPres,distCol,targPos,tPosX,tPosY,distPos,dPosX,dPosY,linOr1,linOr2,linOr3,linOr4,linOr5,linOr6,linOr7,linOr8,corrAns,arElPres1,arElPres2,arElPres3,arElPres4,arElPres5,arElPres6,arElPres7,arElPres8,arElPosX1,arElPosY1,arElPosX2,arElPosY2,arElPosX3,arElPosY3,arElPosX4,arElPosY4,arElPosX5,arElPosY5,arElPosX6,arElPosY6,arElPosX7,arElPosY7,arElPosX8,arElPosY8,arLineDur,shape,dispDur,arElCol,key_resp_4.keys,key_resp_4.rt,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,key_resp_3.keys,key_resp_3.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,down,1,0.5169,,,,,,2,2,green,7,0,-0.2,4,0.141421356,0.141421356,90,0,0,90,0,90,90,0,down,2,2,2,0,2,2,0,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,0,,red,,,0,11,11,22,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,right,1,0.5915,,,,,,2,FALSE,grey,5,0.2,0,3,0,0.2,90,90,0,0,0,90,0,90,right,2,2,2,2,0,2,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,0,,red,,,0,12,12,124,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,down,1,0.5583,,,,,,2,FALSE,grey,1,-0.2,0,3,0,0.2,90,0,90,90,0,0,90,90,down,0,2,2,2,2,2,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,1,,green,,,0,13,13,160,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,right,0,0.9841,,,,,,2,2,green,6,0.141421356,-0.141421356,4,0.141421356,0.141421356,90,0,0,90,0,90,90,90,down,2,2,2,0,2,0,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,0,,red,,,0,14,14,58,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,,0,,,,,,,2,2,red,2,-0.141421356,0.141421356,4,0.141421356,0.141421356,90,0,0,90,0,0,0,90,right,2,0,2,0,2,2,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,1,,green,,,0,15,15,97,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,down,0,1.3834,,,,,,2,2,green,6,0.141421356,-0.141421356,4,0.141421356,0.141421356,0,90,0,0,90,0,0,90,right,2,2,2,0,2,0,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,0,,red,,,0,16,16,23,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,right,1,0.5838,,,,,,2,FALSE,grey,6,0.141421356,-0.141421356,3,0,0.2,90,90,0,90,90,0,90,0,right,2,2,2,2,2,0,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,1,,green,,,0,17,17,173,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,down,1,0.653,,,,,,2,2,green,8,-0.141421356,-0.141421356,4,0.141421356,0.141421356,90,0,90,0,0,90,0,90,down,2,2,2,0,2,2,2,0,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,1,,red,,,0,18,18,3,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,right,1,0.8853,,,,,,2,FALSE,grey,3,0,0.2,3,0,0.2,90,90,0,0,0,90,90,0,right,2,2,0,2,2,2,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,0,,red,,,0,19,19,178,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,down,1,0.5861,,,,,,2,FALSE,grey,5,0.2,0,3,0,0.2,0,0,90,0,90,0,90,90,down,2,2,2,2,0,2,2,2,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,0,,red,,,0,20,20,156,1,,,,,,,,,,,,
,,,999999999,2023-09-01_16h41.38.572,addsingdop,2022.2.5,MacIntel,120.0048002,,,,,down,1,0.5202,,,,,,2,2,red,8,-0.141421356,-0.141421356,4,0.141421356,0.141421356,0,90,90,0,90,90,90,90,down,2,2,2,0,2,2,2,0,-0.2,0,-0.141421356,0.141421356,0,0.2,0.141421356,0.141421356,0.2,0,0.141421356,-0.141421356,0,-0.2,-0.141421356,-0.141421356,2,0,,green,,,0,21,21,112,1,,,,,,,,,,,,
